stem,storage_day,pred_class,area_um2,circularity,sum_I,npix,I_bg,dry_mass_pg
20110516_1,5,1,81.626,0.8698,201953.0,3931.0,50.0,30.55734744880075
20110516_1,5,1,88.479,0.8903,274052.0,4261.0,50.0,41.46658966709454
20110516_1,5,1,85.821,0.8228,240026.0,4133.0,50.0,36.31814272997108
20110516_1,5,4,57.664,0.9104,244551.0,2777.0,50.0,37.002816872993584
20110516_1,5,1,85.759,0.8644,229804.0,4130.0,50.0,34.771460058153174
20110516_1,5,1,72.843,0.8807,239769.0,3508.0,50.0,36.27925626483146
20110516_1,5,1,55.629,0.9038,212368.0,2679.0,50.0,32.13323279677409
20110516_1,5,1,79.82,0.8959,268680.0,3844.0,50.0,40.65375662923446
20110516_1,5,1,86.61,0.8363,264237.0,4171.0,50.0,39.98148984084794
20110516_1,5,1,85.842,0.8669,269685.0,4134.0,50.0,40.80582237812674
20110516_1,5,1,79.612,0.8853,258900.0,3834.0,50.0,39.17395262508858
20110516_1,5,1,71.784,0.8672,204995.0,3457.0,50.0,31.017630043955325
20110516_1,5,1,196.29,0.4692,605030.0,9453.0,50.0,91.54660701721649
20110516_1,5,1,72.615,0.8837,206880.0,3497.0,50.0,31.30284789138017
20110516_1,5,1,76.311,0.8655,249508.0,3675.0,50.0,37.75285659165934
20110516_1,5,1,76.248,0.855,218522.0,3672.0,50.0,33.06438963128469
20110516_1,5,4,76.747,0.8873,287252.0,3696.0,50.0,43.463871145082834
20110516_1,5,1,73.694,0.8469,205865.0,3549.0,50.0,31.149269050459104
20110516_1,5,1,95.227,0.8345,273690.0,4586.0,50.0,41.41181573565274
20110516_1,5,1,62.73,0.8953,204453.0,3021.0,50.0,30.935620455995505
20110516_1,5,1,129.24,0.5548,404274.0,6224.0,50.0,61.17037668426057
20110516_1,5,1,68.337,0.8859,226298.0,3291.0,50.0,34.240969992863256
20110516_1,5,4,63.063,0.9134,229948.0,3037.0,50.0,34.79324858336759
20110516_1,5,4,56.646,0.8962,236881.0,2728.0,50.0,35.84227528692008
20110516_1,5,1,55.234,0.8699,169628.0,2660.0,50.0,25.666277465772602
20110516_1,5,1,56.854,0.874,220401.0,2738.0,50.0,33.34869962349227
20110516_1,5,1,71.265,0.936,199085.0,3432.0,50.0,30.12339265494693
20110516_1,5,1,66.323,0.8827,164610.0,3194.0,50.0,24.907007885731293
20110516_1,5,1,133.954,0.456,340235.0,6451.0,50.0,51.48068664116267
20110516_1,5,1,69.583,0.9325,160478.0,3351.0,50.0,24.281798259439807
20110516_1,5,1,45.101,0.83,113607.0,2172.0,50.0,17.189784611349705
20110516_2,5,3,31.064,0.5268,98194.0,1496.0,52.0,14.857655867392616
20110516_2,5,1,64.142,0.8887,220001.0,3089.0,52.0,33.288175942341105
20110516_2,5,1,72.926,0.8798,228590.0,3512.0,52.0,34.587770685859404
20110516_2,5,1,67.735,0.8974,183095.0,3262.0,52.0,27.703958500929293
20110516_2,5,3,65.783,0.7358,230892.0,3168.0,52.0,34.93608447088433
20110516_2,5,1,156.733,0.4456,506406.0,7548.0,52.0,76.62388819258636
20110516_2,5,1,78.657,0.8884,218085.0,3788.0,52.0,32.99826750962705
20110516_2,5,1,72.781,0.8885,236073.0,3505.0,52.0,35.72001745099473
20110516_2,5,1,58.058,0.8803,209826.0,2796.0,52.0,31.748604803058466
20110516_2,5,1,79.052,0.9027,242491.0,3807.0,52.0,36.6911199150651
20110516_2,5,1,79.508,0.8853,223413.0,3829.0,52.0,33.804442942560506
20110516_2,5,1,86.153,0.8949,268812.0,4149.0,52.0,40.673729444014334
20110516_2,5,1,125.835,0.559,430394.0,6060.0,52.0,65.12257306343135
20110516_2,5,1,63.063,0.8807,200778.0,3037.0,52.0,30.379559135419218
20110516_2,5,1,38.124,0.811,111023.0,1836.0,52.0,16.798801631113207
20110516_2,5,1,69.417,0.901,235678.0,3343.0,52.0,35.660250315857965
20110516_2,5,1,74.774,0.8611,221389.0,3601.0,52.0,33.498193115935635
20110516_2,5,1,69.396,0.8899,213200.0,3342.0,52.0,32.259122053568504
20110516_2,5,1,77.017,0.8888,244294.0,3709.0,52.0,36.96393040785396
20110516_2,5,1,21.035,0.6529,57394.0,1013.0,52.0,8.684240389974253
20110516_2,5,1,134.577,0.5036,427337.0,6481.0,52.0,64.6600208302336
20110516_2,5,1,69.479,0.885,197893.0,3346.0,52.0,29.94303208511647
20110516_2,5,1,69.687,0.8869,250163.0,3356.0,52.0,37.85196411954436
20110516_2,5,1,77.183,0.8725,207547.0,3717.0,52.0,31.403771129699727
20110516_2,5,4,60.529,0.9006,240929.0,2915.0,52.0,36.45477494016982
20110516_2,5,1,72.677,0.8853,206468.0,3500.0,52.0,31.240508499794473
20110516_2,5,1,55.92,0.8712,210553.0,2693.0,52.0,31.8586065935507
20110516_2,5,1,189.5,0.4267,546893.0,9126.0,52.0,82.74994388950394
20110516_2,5,1,39.266,0.7522,102143.0,1891.0,52.0,15.455175909557445
20110516_2,5,4,62.793,0.8781,262032.0,3024.0,52.0,39.64785304850217
20110516_2,5,1,132.729,0.5269,378958.0,6392.0,52.0,57.339832904203625
20110516_2,5,3,58.038,0.5757,169889.0,2795.0,52.0,25.70576916772373
20110516_2,5,4,62.274,0.8648,206574.0,2999.0,52.0,31.25654727529953
20110516_2,5,1,186.966,0.3556,540063.0,9004.0,52.0,81.71650203384787
20110516_2,5,1,62.377,0.881,209389.0,3004.0,52.0,31.68248268140082
20110516_2,5,4,46.534,0.8713,157137.0,2241.0,52.0,23.776274212624735
20110516_2,5,1,53.428,0.7869,127424.0,2573.0,52.0,19.28042386751366
20110516_2,5,1,34.387,0.6829,91866.0,1656.0,52.0,13.900171231581258
20110516_2,5,1,25.811,0.6051,78580.0,1243.0,52.0,11.889877162145464
20110516_3,5,1,73.071,0.8383,196948.0,3519.0,57.0,29.800044888396855
20110516_3,5,1,148.967,0.4843,492917.0,7174.0,57.0,74.58287835496635
20110516_3,5,1,128.43,0.4629,359497.0,6185.0,57.0,54.3952045069968
20110516_3,5,1,64.433,0.8848,205108.0,3103.0,57.0,31.03472798388053
20110516_3,5,1,59.865,0.8592,192239.0,2883.0,57.0,29.08752985204482
20110516_3,5,1,76.851,0.875,230680.0,3701.0,57.0,34.90400691987421
20110516_3,5,1,77.266,0.8745,221637.0,3721.0,57.0,33.53571779824936
20110516_3,5,1,72.054,0.8881,225221.0,3470.0,57.0,34.07800998136375
20110516_3,5,4,58.723,0.8965,195732.0,2828.0,57.0,29.61605289769733
20110516_3,5,1,82.332,0.8817,235038.0,3965.0,57.0,35.56341242601611
20110516_3,5,1,62.876,0.8851,219071.0,3028.0,57.0,33.14745838366466
20110516_3,5,1,61.63,0.8775,188052.0,2968.0,57.0,28.453998219595046
20110516_3,5,1,116.781,0.7736,431021.0,5624.0,57.0,65.21744393363579
20110516_3,5,1,82.332,0.8923,238396.0,3965.0,57.0,36.0715087292801
20110516_3,5,1,123.551,0.5536,377582.0,5950.0,57.0,57.13163144104364
20110516_3,5,1,82.187,0.8863,221888.0,3958.0,57.0,33.573696408171706
20110516_3,5,1,154.116,0.5359,422113.0,7422.0,57.0,63.86958155439945
20110516_3,5,1,60.343,0.9313,196271.0,2906.0,57.0,29.69760855804852
